path,has_ru_header,has_en_summary,last_reviewed,lines
emacs/base/tests/test-pending-bindings.el,0,0,,57
emacs/base/tests/test-smoke-pro-modules.el,0,0,,29
emacs/base/tests/test-terminals.el,0,0,,9
emacs/base/tests/test-ui.el,0,0,,25
emacs/base/tools/check-pending-bindings.el,1,0,,67
emacs/base/tools/check-pending-ops.el,0,0,,68
emacs/base/tools/collect-nix-vs-references.el,0,0,,53
emacs/base/tools/diag-modules.el,0,0,,37
emacs/base/tools/fix-pending.el,0,0,,53
emacs/base/tools/install-required-packages.el,0,0,,49
emacs/base/tools/list-not-loaded.el,0,0,,14
emacs/base/tools/pending-report.el,0,0,,53
emacs/home-manager.nix,0,0,,263
emacs/pro-manage.el,0,0,,43
flake-parts/outputs-model-client.nix,0,0,,19
flake.nix,0,0,,206
hardware-configuration.nix,0,0,,30
hosts/cf19/configuration.nix,0,0,,129
hosts/huawei/configuration.nix,0,0,,96
modules/fbterm-tty.nix,1,1,2026-04-25,43
modules/headscale.nix,1,1,2026-04-25,59
modules/nix-cuda-compat.nix,1,1,2026-04-25,75
modules/packages-runtime.nix,1,1,2026-04-25,43
modules/pro-desktop.nix,1,1,2026-04-25,175
modules/pro-peer.nix,1,1,2026-04-25,283
modules/pro-privacy.nix,1,1,2026-04-25,155
modules/pro-services.nix,1,1,2026-04-25,53
modules/pro-storage.nix,1,1,2026-04-25,138
modules/pro-users-nixos.nix,1,1,2026-04-25,65
modules/pro-users-termux.nix,1,1,2026-04-25,33
modules/pro-users-wsl.nix,1,1,2026-04-25,33
modules/pro-users.nix,1,1,2026-04-25,74
modules/system-boot.nix,1,1,2026-04-25,31
modules/systemd-policy.nix,1,1,2026-04-25,36
nix/emacs-recipes/agent-shell.nix,0,0,,17
nix/emacs-recipes/eldoc-box.nix,0,0,,17
nix/emacs-recipes/treemacs-icons-dired.nix,0,0,,17
nix/modules/pro-samba-keys-sync.nix,0,0,,17
nix/modules/pro-smb-automount.nix,0,0,,37
nix/modules/pro-smb-mount.nix,0,0,,17
nix/modules/pro-user-automount.nix,0,0,,27
nix/overlay-readme.md,0,0,,13
nix/overlays/emacs-extra.nix,0,0,,54
nix/provided-packages.nix,0,0,,49
nixos/modules/adb-udev.nix,0,0,,48
nixos/modules/opencode-config.nix,1,0,,47
nixos/modules/opencode-system.nix,0,0,,29
nixos/modules/opencode.nix,1,0,,66
nixos/modules/zram-slice.nix,0,0,,81
proctl/__init__.py,0,0,,6
proctl/cli.py,0,0,,59
scripts/README.md,0,0,,41
scripts/analyse.sh,0,0,,145
scripts/apply-key-suggestions.py,0,0,,67
scripts/apply-sysctl.sh,0,0,,25
scripts/audio-diag.sh,0,0,,96
scripts/backup-hiddenservice.sh,0,0,,33
scripts/bash1.sh,0,0,,62
scripts/benchmark-workload.sh,0,0,,59
scripts/build-system.sh,0,0,,14
scripts/check-elisp-parens.el,0,0,,127
scripts/check-elisp.sh,0,0,,65
scripts/check-nixos-build.sh,0,0,,50
scripts/collect-org-babel-python-info.sh,0,0,,97
scripts/collect-switch-logs.sh,0,0,,85
scripts/collect-system-info.sh,0,0,,80
scripts/deploy-emacs-from-repo.sh,0,0,,45
scripts/emacs-e2e-assertions.el,0,0,,41
scripts/emacs-e2e-run-tests.el,0,0,,7
scripts/emacs-e2e-test.el,0,0,,35
scripts/emacs-headless-report.sh,0,0,,25
scripts/emacs-headless-test.sh,0,0,,122
scripts/emacs-pro-wrapper.sh,0,0,,28
scripts/emacs-sync.sh,0,0,,38
scripts/emacs-verify.sh,0,0,,5
scripts/emacs-with-packages.nix,0,0,,6
scripts/enable-zram-safe.sh,0,0,,39
scripts/ensure-tor.sh,0,0,,131
scripts/generate-key-suggestions.el,0,0,,35
scripts/generate-key-suggestions.py,0,0,,74
scripts/generate-provided-packages.el,0,0,,55
scripts/generate-provided-packages.sh,0,0,,28
scripts/install-nerd-fonts.sh,0,0,,24
scripts/install-ollama-model.sh,0,0,,17
scripts/interactive-measure.sh,0,0,,19
scripts/lint-keys.sh,0,0,,12
scripts/melpa-update.el,0,0,,18
scripts/merge-suggestions-into-keys.sh,0,0,,80
scripts/minimal-e2e.sh,1,0,,63
scripts/monitor-emacs-logs.sh,0,0,,24
scripts/mount-smb.sh,0,0,,120
scripts/nix-build-and-share.sh,0,0,,30
scripts/nix-mirror-test.sh,0,0,,92
scripts/nix-update-emacs-paths.sh,0,0,,36
scripts/opencode-smoke.sh,0,0,,19
scripts/parse-emacs-logs.sh,0,0,,30
scripts/patch-pro-provides.sh,0,0,,55
scripts/pro-peer-acceptor.sh,0,0,,28
scripts/pro-peer-canary.sh,0,0,,49
scripts/pro-peer-master.sh,0,0,,159
scripts/pro-peer-sync-keys.sh,0,0,,71
scripts/pro-peer-wg-quick-wrapper.sh,0,0,,17
scripts/pro-samba-sync-keys.sh,0,0,,43
scripts/pro-samba-toggle.sh,0,0,,44
scripts/push-nix-to-peers.sh,0,0,,41
scripts/regenerate-provided-packages.el,0,0,,29
scripts/rename-modules-pro.sh,0,0,,93
scripts/run-emacs-e2e.sh,0,0,,40
scripts/run-samba-diagnostics.sh,0,0,,82
scripts/smoke-load-modules.sh,0,0,,38
scripts/sound.sh,0,0,,99
scripts/suggest-surface-updates.sh,1,0,,66
scripts/switch.sh,0,0,,94
scripts/test-emacs-headless.sh,0,0,,127
scripts/test-keys.el,0,0,,21
scripts/test-opencode-launch.sh,0,0,,55
scripts/tray-test.sh,0,0,,151
self-improving/memory.md,0,0,,8
system-packages.nix,0,0,,608
systemd-user-services.nix,0,0,,175
test-full-config.nix,0,0,,9
test-tor.nix,0,0,,11
test/ert/test-pro-packages.el,0,0,,8
test/verify-tor-include.nix,0,0,,8
tests/contract/pro-peer-01.sh,0,0,,19
tests/contract/surface-headers.sh,1,0,,18
tests/contract/test-gui-smoke.el,1,0,,20
tests/contract/test-soft-reload.el,1,0,,28
tests/contract/test-theme-contrast.el,0,0,,38
tests/contract/test_live_activation_smoke.sh,0,0,,43
tests/contract/test_modelclient_smoke.sh,0,0,,12
tests/contract/test_runtime_packages.sh,0,0,,45
tests/contract/tor-01.sh,1,0,,19
tests/contract/unit/01-pro-peer-basic.sh,0,0,,31
tests/contract/unit/02-emacs-options.sh,0,0,,19
tests/contract/unit/03-llm-tools.sh,0,0,,18
tests/contract/unit/04-opencode-options.sh,0,0,,22
tests/contract/unit/05-mkforce-lint-test.sh,0,0,,6
tests/contract/unit/06-pro-peer-dryrun.sh,0,0,,23
tests/contract/unit/07-runtime-packages.sh,0,0,,35
tests/contract/unit/08-pro-privacy-packages.sh,0,0,,32
tests/contract/unit/test_nix_eval_basic.sh,0,0,,30
tests/gui/gui-smoke.el,0,0,,30
tests/scenario/controlplane_e2e.sh,0,0,,48
tools/docs-link-check.sh,1,1,2026-04-25,50
tools/generate-mkforce-json.sh,0,0,,26
tools/generate-options-md.sh,1,1,2026-04-25,48
tools/holo-verify.sh,0,0,,39
tools/mkforce-lint.sh,1,1,2026-04-25,64
tools/surface-lint.sh,1,0,,63
tui/app.py,0,0,,552
tui/main.py,0,0,,102
tui/proctl.py,0,0,,72
tui/proctl/spec.md,0,0,,46
tui/textual_app.py,0,0,,72
tui/textual_prototype.py,0,0,,84
tui/tui.py,0,0,,102
tui/tui_main.py,0,0,,66
